time_min,train_1_displacement_miles,train_2_displacement_miles,bird_displacement_miles
8.683333333,7.236111111,92.76388889,34.73333333
8.7,7.25,92.75,34.8
8.716666667,7.263888889,92.73611111,34.86666667
8.733333333,7.277777778,92.72222222,34.93333333
8.75,7.291666667,92.70833333,35
8.766666667,7.305555556,92.69444444,35.06666667
8.783333333,7.319444444,92.68055556,35.13333333
8.8,7.333333333,92.66666667,35.2
8.816666667,7.347222222,92.65277778,35.26666667
8.833333333,7.361111111,92.63888889,35.33333333
8.85,7.375,92.625,35.4
8.866666667,7.388888889,92.61111111,35.46666667
8.883333333,7.402777778,92.59722222,35.53333333
8.9,7.416666667,92.58333333,35.6
8.916666667,7.430555556,92.56944444,35.66666667
8.933333333,7.444444444,92.55555556,35.73333333
8.95,7.458333333,92.54166667,35.8
8.966666667,7.472222222,92.52777778,35.86666667
8.983333333,7.486111111,92.51388889,35.93333333
9,7.5,92.5,36
9.016666667,7.513888889,92.48611111,36.06666667
9.033333333,7.527777778,92.47222222,36.13333333
9.05,7.541666667,92.45833333,36.2
9.066666667,7.555555556,92.44444444,36.26666667
9.083333333,7.569444444,92.43055556,36.33333333
9.1,7.583333333,92.41666667,36.4
9.116666667,7.597222222,92.40277778,36.46666667
9.133333333,7.611111111,92.38888889,36.53333333
9.15,7.625,92.375,36.6
9.166666667,7.638888889,92.36111111,36.66666667
9.183333333,7.652777778,92.34722222,36.73333333
9.2,7.666666667,92.33333333,36.8
9.216666667,7.680555556,92.31944444,36.86666667
9.233333333,7.694444444,92.30555556,36.93333333
9.25,7.708333333,92.29166667,37
9.266666667,7.722222222,92.27777778,37.06666667
9.283333333,7.736111111,92.26388889,37.13333333
9.3,7.75,92.25,37.2
9.316666667,7.763888889,92.23611111,37.26666667
9.333333333,7.777777778,92.22222222,37.33333333
9.35,7.791666667,92.20833333,37.4
9.366666667,7.805555556,92.19444444,37.46666667
9.383333333,7.819444444,92.18055556,37.53333333
9.4,7.833333333,92.16666667,37.6
9.416666667,7.847222222,92.15277778,37.66666667
9.433333333,7.861111111,92.13888889,37.73333333
9.45,7.875,92.125,37.8
9.466666667,7.888888889,92.11111111,37.86666667
9.483333333,7.902777778,92.09722222,37.93333333
9.5,7.916666667,92.08333333,38
9.516666667,7.930555556,92.06944444,38.06666667
9.533333333,7.944444444,92.05555556,38.13333333
9.55,7.958333333,92.04166667,38.2
9.566666667,7.972222222,92.02777778,38.26666667
9.583333333,7.986111111,92.01388889,38.33333333
9.6,8,92,38.4
9.616666667,8.013888889,91.98611111,38.46666667
9.633333333,8.027777778,91.97222222,38.53333333
9.65,8.041666667,91.95833333,38.6
9.666666667,8.055555556,91.94444444,38.66666667
9.683333333,8.069444444,91.93055556,38.73333333
9.7,8.083333333,91.91666667,38.8
9.716666667,8.097222222,91.90277778,38.86666667
9.733333333,8.111111111,91.88888889,38.93333333
9.75,8.125,91.875,39
9.766666667,8.138888889,91.86111111,39.06666667
9.783333333,8.152777778,91.84722222,39.13333333
9.8,8.166666667,91.83333333,39.2
9.816666667,8.180555556,91.81944444,39.26666667
9.833333333,8.194444444,91.80555556,39.33333333
9.85,8.208333333,91.79166667,39.4
9.866666667,8.222222222,91.77777778,39.46666667
9.883333333,8.236111111,91.76388889,39.53333333
9.9,8.25,91.75,39.6
9.916666667,8.263888889,91.73611111,39.66666667
9.933333333,8.277777778,91.72222222,39.73333333
9.95,8.291666667,91.70833333,39.8
9.966666667,8.305555556,91.69444444,39.86666667
9.983333333,8.319444444,91.68055556,39.93333333
10,8.333333333,91.66666667,40
10.01666667,8.347222222,91.65277778,40.06666667
10.03333333,8.361111111,91.63888889,40.13333333
10.05,8.375,91.625,40.2
10.06666667,8.388888889,91.61111111,40.26666667
10.08333333,8.402777778,91.59722222,40.33333333
10.1,8.416666667,91.58333333,40.4
10.11666667,8.430555556,91.56944444,40.46666667
10.13333333,8.444444444,91.55555556,40.53333333
10.15,8.458333333,91.54166667,40.6
10.16666667,8.472222222,91.52777778,40.66666667
10.18333333,8.486111111,91.51388889,40.73333333
10.2,8.5,91.5,40.8
10.21666667,8.513888889,91.48611111,40.86666667
10.23333333,8.527777778,91.47222222,40.93333333
10.25,8.541666667,91.45833333,41
10.26666667,8.555555556,91.44444444,41.06666667
10.28333333,8.569444444,91.43055556,41.13333333
10.3,8.583333333,91.41666667,41.2
10.31666667,8.597222222,91.40277778,41.26666667
10.33333333,8.611111111,91.38888889,41.33333333
10.35,8.625,91.375,41.4
10.36666667,8.638888889,91.36111111,41.46666667
10.38333333,8.652777778,91.34722222,41.53333333
10.4,8.666666667,91.33333333,41.6
10.41666667,8.680555556,91.31944444,41.66666667
10.43333333,8.694444444,91.30555556,41.73333333
10.45,8.708333333,91.29166667,41.8
10.46666667,8.722222222,91.27777778,41.86666667
